onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
3.603	2.5419999999999994	trials				[nan nan nan nan]		A
6.396	3.998	trials	9.378833333333333		1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	A
10.646	3.625	trials	11.647466666666666	12.9948	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
14.523	4.707000000000001	trials	16.673933333333334	17.834833333333332	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
19.482	4.0120000000000005	trials	20.9616	22.307933333333335	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
23.746	2.724	trials	25.087833333333332	25.699333333333332	0.0	[-1.  9.  1.  7.]	1.5707963267948966	I
26.722	5.027999999999999	trials	29.7454	30.562433333333335	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
32.002	3.9809999999999945	trials	34.008966666666666	34.763866666666665	0.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	1.5707963267948966	R
36.234	3.3260000000000005	trials	37.7703	38.27356666666667	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
39.811	3.581000000000003	trials	40.88503333333333	42.1953	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
43.644	3.862000000000002	trials	45.59073333333333	46.3035	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
47.758	3.617999999999995	trials	49.14253333333333	50.19916666666666	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
51.628	3.6510000000000034	trials	53.41513333333333	54.03066666666667	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
55.53	2.6329999999999956	trials	57.3008		1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	A
58.415	5.5	trials	61.70773333333333	62.754333333333335	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
64.167	2.2339999999999947	trials	65.8871		3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	A
66.653	3.3499999999999943	trials	67.99233333333333	68.99983333333333	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	F
70.255	4.88900000000001	trials	72.46343333333333	73.6624	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
75.396	4.396000000000001	trials	77.929	78.6207	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
80.043	1.9019999999999868	trials	81.559		4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	A
82.197	3.9329999999999927	trials	84.16646666666666	85.12686666666667	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	F
86.382	5.147999999999996	trials	89.7804	90.3799	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
91.781	4.11999999999999	trials	94.05703333333334	94.6535	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
96.152	3.9680000000000035	trials	97.65696666666666	98.78876666666666	1.0	[-1.  9.  1.  7.]	0.7853981633974483	R
100.372	4.769999999999996	trials	103.0674	104.02176666666666	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
105.393	4.527000000000001	trials	107.60866666666666	108.7094	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
110.172	4.649000000000001	trials	112.0908	113.44916666666667	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
115.072	4.849999999999994	trials	117.46613333333333	118.59393333333334	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
120.174	3.8259999999999934	trials	122.2921	123.36076666666666	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	I
124.252	3.7970000000000113	trials	126.25193333333333	126.93863333333333	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
128.301	4.049000000000007	trials	130.09346666666667	131.1521	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
132.602	4.149000000000001	trials	134.3691	135.61316666666667	0.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	1.5707963267948966	R
137.003	4.437000000000012	trials	139.03866666666667	140.16246666666666	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
141.691	0.8179999999999836	trials				[nan nan nan nan]		A
142.761	0.18700000000001182	trials				[nan nan nan nan]		A
143.2	0.44599999999999795	trials				[nan nan nan nan]		A
143.898	0.19700000000000273	trials				[nan nan nan nan]		A
144.347	3.752999999999986	trials	145.4456	146.6165	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
148.352	4.650999999999982	trials	150.9703	151.78833333333333	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
153.255	3.0889999999999986	trials	154.99026666666666	155.57173333333333	4.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	-1.5707963267948966	I
156.595	3.5670000000000073	trials	157.84336666666667	158.9872	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
160.414	4.381	trials	162.3646	163.4132	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
165.046	4.176000000000016	trials	167.06726666666665	167.97853333333333	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
169.473	3.9469999999999743	trials	171.2346	172.203	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
173.672	5.177999999999997	trials	176.90366666666668	177.5583	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
179.101	4.0989999999999895	trials	180.63893333333334	181.88003333333333	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
183.452	4.007000000000005	trials	184.9757	186.306	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
187.711	4.046999999999997	trials	189.4498	190.56256666666667	0.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	1.5707963267948966	R
192.009	4.007000000000005	trials	194.3149	194.88933333333333	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
196.268	4.481999999999999	trials	198.2697	199.42656666666667	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
201.002	3.546999999999997	trials	202.64956666666666	203.2561	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
204.801	3.8920000000000243	trials	206.66756666666666	207.39736666666667	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
208.944	4.521000000000015	trials	210.85896666666667	212.2825	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
213.717	9.829999999999984	trials	221.20063333333334	222.36653333333334	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
223.799	3.4679999999999893	trials	225.0983	226.09376666666665	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
227.518	3.5289999999999964	trials	229.21653333333333	229.7238	2.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	0.0	R
231.299	3.6129999999999995	trials	233.1543	233.7568	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
235.163	2.4039999999999964	trials	236.9046		7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	A
237.819	3.6380000000000052	trials	239.45193333333333	240.70303333333334	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	I
241.709	4.3870000000000005	trials	243.96313333333333	244.84633333333332	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
246.348	3.9749999999999943	trials	248.2638	249.31943333333334	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	F
250.575	4.1839999999999975	trials	252.05823333333333	253.51783333333333	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
255.011	3.4790000000000134	trials	256.6396	257.31826666666666	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
258.742	3.7539999999999623	trials	260.69466666666665	261.32823333333334	3.0	[-1.  9.  1.  7.]	-0.7853981633974483	R
262.748	4.360000000000014	trials	264.64146666666664	266.00986666666665	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
267.359	4.263000000000034	trials	269.1647	270.3897333333333	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
271.873	3.6240000000000236	trials	273.7891666666667	274.3054333333333	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
275.749	4.064999999999998	trials	277.349	278.56	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
280.066	4.268000000000029	trials	282.18	282.89976666666666	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
284.586	3.512999999999977	trials	286.1659	286.83656666666667	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
288.35	3.977999999999952	trials	290.2741	291.11716666666666	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
292.58	3.869000000000028	trials	294.6249	295.2715	4.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-1.5707963267948966	R
296.701	3.4839999999999804	trials	298.27596666666665	299.1812	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	F
300.436	3.4530000000000314	trials	301.924	302.5626	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
304.14	4.170000000000016	trials	306.5144	307.0828	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
308.561	3.8450000000000273	trials	310.17246666666665	311.24916666666667	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
312.658	3.7280000000000086	trials	314.2075	315.2591	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
316.638	3.6450000000000387	trials	318.08813333333336	318.9021333333333	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
