onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
4.494	4.369	trials	6.262733333333333	7.604066666666666	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
9.115	3.949	trials	10.946366666666666	11.9338	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
13.315	3.5600000000000005	trials	14.541266666666667	15.788366666666667	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
17.127	3.4589999999999996	trials	18.8249	19.900566666666666	2.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	0.0	I
20.838	5.228999999999999	trials	24.2975	24.9511	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
26.319	3.4830000000000005	trials	27.6077	28.536	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
30.054	4.285	trials	32.101866666666666	33.1224	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
34.591	4.6129999999999995	trials	36.803533333333334	38.05863333333333	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
39.456	3.522999999999996	trials	41.1884	41.85906666666666	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
43.23	4.044000000000004	trials	45.1412	46.135666666666665	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
47.525	3.9080000000000013	trials	48.9687	50.1717	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
51.684	3.9299999999999997	trials	52.898466666666664	54.36913333333333	2.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	0.0	R
55.866	3.128	trials	57.69136666666667	58.347	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	I
59.245	7.163000000000004	trials	63.685233333333336	65.01053333333333	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
66.66	3.5799999999999983	trials	68.47713333333333	69.17083333333333	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
70.491	4.192000000000007	trials	71.9738	73.2951	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
74.934	3.4470000000000027	trials	76.63336666666666	77.291	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
78.632	4.201999999999998	trials	80.41376666666666	81.64983333333333	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
83.085	3.7409999999999997	trials	84.7796	85.56153333333333	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
87.077	3.2220000000000084	trials	88.168	89.18853333333334	7.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	2.356194490192345	R
90.551	4.0120000000000005	trials	92.45163333333333	93.38093333333333	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
94.815	4.082999999999998	trials	96.1919	97.6455	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
99.149	4.420000000000002	trials	101.21836666666667	102.271	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
103.821	3.896000000000001	trials	105.59123333333334	106.56566666666667	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
107.968	4.245999999999995	trials	109.70946666666667	111.0598	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
112.465	3.676000000000002	trials	113.89283333333333	114.85223333333333	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
116.393	4.173999999999992	trials	117.99403333333333	119.4807	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
120.819	3.372	trials	122.65256666666667	123.1819	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
124.443	4.173000000000016	trials	126.50513333333333	127.5808	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
128.868	3.4509999999999934	trials	130.05493333333334	131.0895	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
132.57	4.060000000000002	trials	134.16916666666665	135.5165	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
136.882	3.930999999999983	trials	138.7746	139.93546666666666	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	I
141.064	4.628000000000014	trials	143.1364	144.48276666666666	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
145.943	3.1759999999999877	trials	147.34686666666667	147.9584	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
149.371	4.034999999999997	trials	151.45006666666666	152.26706666666666	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
153.658	3.7490000000000236	trials	155.44396666666665	156.19883333333334	0.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	1.5707963267948966	R
157.658	3.0230000000000246	trials	159.11506666666668	159.61833333333334	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
160.933	3.2960000000000207	trials	161.87493333333333	163.18516666666667	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
164.48	3.754000000000019	trials	166.35303333333334	167.0658	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
168.485	3.563999999999993	trials	169.70836666666668	170.76496666666668	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
172.301	2.920000000000016	trials	173.4777	174.09323333333333	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
175.473	3.9289999999999736	trials	177.12376666666665	178.37986666666666	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
179.654	4.260999999999996	trials	181.75926666666666	182.80586666666667	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
184.166	3.9720000000000084	trials	185.8043	186.9361	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
188.39	3.576000000000022	trials	189.73206666666667	190.73956666666666	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
192.217	4.623999999999995	trials	194.4277	195.6267	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
197.092	4.34699999999998	trials	199.60256666666666	200.29426666666666	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
201.691	2.983000000000004	trials	202.9609	203.64156666666668	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
