onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
3.553	4.29	trials	5.7179	6.738433333333333	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
8.095	4.362	trials	10.1178	11.372933333333334	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
12.708	3.685999999999998	trials	14.523766666666667	15.1944	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
16.646	4.169999999999998	trials	18.712133333333334	19.7066	6.0	[-8.99997711e+00  9.80888188e-01 -6.99997711e+00 -1.35600609e+34]	3.141592653589793	R
21.068	3.594999999999999	trials	22.420333333333332	23.623333333333335	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
24.915	3.899000000000001	trials	26.289933333333334	27.7606	2.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	0.0	R
29.066	3.6890000000000036	trials	30.9425	31.598133333333333	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
33.007	4.341999999999999	trials	34.99956666666667	36.324866666666665	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
37.601	3.317	trials	39.17093333333333	39.86463333333333	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
41.17	3.9709999999999965	trials	42.61646666666667	43.937733333333334	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
45.392	3.803999999999995	trials	47.534666666666666	48.1923	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	F
49.447	4.223999999999997	trials	51.27396666666667	52.51003333333333	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
53.923	3.5649999999999977	trials	55.579633333333334	56.36156666666667	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
57.74	3.242999999999995	trials	58.859766666666665	59.8803	7.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	2.356194490192345	R
61.235	4.251999999999995	trials	63.283766666666665	64.21306666666666	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
65.739	3.891999999999996	trials	66.99396666666667	68.44756666666666	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
69.882	4.2039999999999935	trials	71.77783333333333	72.83046666666667	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
74.337	3.594999999999999	trials	75.879	76.85343333333333	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
78.184	8.159999999999997	trials	83.927	85.27733333333333	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
86.596	3.367999999999995	trials	87.85573333333333	88.81513333333334	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
90.216	4.165000000000006	trials	91.81956666666666	93.30626666666667	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
94.633	3.570999999999998	trials	96.6305	97.15983333333334	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
98.456	4.128	trials	100.455	101.53066666666666	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
102.836	3.1569999999999965	trials	103.76723333333334	104.8018	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
106.244	4.158000000000001	trials	107.85336666666667	109.2007	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
110.653	4.478999999999999	trials	112.60916666666667	113.77006666666666	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
115.384	4.054999999999993	trials	116.9379	118.28426666666667	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
119.691	3.027000000000001	trials	121.06616666666666	121.67766666666667	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
122.97	4.293000000000006	trials	125.29063333333333	126.10766666666666	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
127.514	3.692999999999998	trials	129.3016	130.05646666666667	0.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	1.5707963267948966	R
131.459	3.163000000000011	trials	133.02583333333334	133.5291	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
134.873	3.4390000000000214	trials	135.9471	137.25733333333332	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
138.564	3.6599999999999966	trials	140.37706666666668	141.08986666666667	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
142.475	3.6810000000000116	trials	143.92286666666666	144.9795	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
146.408	3.5720000000000027	trials	148.14236666666667	148.75786666666667	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
150.232	3.968999999999994	trials	151.79843333333332	153.05453333333332	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
154.453	4.584000000000003	trials				[nan nan nan nan]		A
159.289	3.3500000000000227	trials	160.38673333333332	161.51853333333332	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
162.891	3.5490000000000066	trials	164.25433333333334	165.26183333333333	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
166.691	4.722000000000008	trials	169.0723	170.27126666666666	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
171.665	3.9170000000000016	trials	173.83913333333334	174.53083333333333	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
175.834	2.953000000000003	trials	177.06713333333335	177.74783333333335	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
179.039	3.9170000000000016	trials	180.86556666666667	181.82593333333332	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	I
183.207	4.354000000000013	trials	186.31006666666667	186.90956666666668	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	I
187.813	4.586000000000013	trials	190.68593333333334	191.2824	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
192.651	4.224999999999994	trials	194.5786	195.7104	1.0	[-1.  9.  1.  7.]	0.7853981633974483	R
197.128	6.176000000000016	trials	201.09476666666666	202.04913333333334	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
203.556	3.758999999999986	trials	205.15483333333333	206.25556666666665	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
207.567	4.418999999999983	trials	209.43446666666668	210.79283333333333	0.0	[-1.  9.  1.  7.]	1.5707963267948966	R
212.237	10.859000000000009	trials	220.71946666666668	221.84726666666666	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
223.348	4.299999999999983	trials	225.4412	226.50983333333335	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
227.899	3.1829999999999927	trials	229.30776666666668	229.9945	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
231.334	4.329000000000008	trials	233.45506666666665	234.5137	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
235.914	3.7490000000000236	trials	237.18533333333335	238.42943333333332	0.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	1.5707963267948966	R
239.915	9.462000000000018	trials	247.2022	248.32596666666666	4.0	[-0.98725879 -6.99998999  1.01274121 -8.99998951]	-1.5707963267948966	R
249.628	4.271000000000015	trials	251.3926	252.70083333333332	3.0	[ 4.66360712 -4.65009308  6.66360712 -6.65009308]	-0.7853981633974483	R
254.15	3.566999999999979	trials	255.57696666666666	256.6566666666667	5.0	[-6.64558125 -4.66810465 -4.64558125 -6.66810465]	-2.356194490192345	R
257.969	5.067999999999984	trials	260.32776666666666	261.74326666666667	7.0	[-6.67259884  6.6410656  -4.67259884  4.6410656 ]	2.356194490192345	R
263.288	12.300999999999988	trials	273.26486666666665	274.4959333333333	6.0	[-8.99997711  0.98088819 -6.99997711 -1.01911187]	3.141592653589793	R
275.84	3.671000000000049	trials	277.1435	278.3144	1.0	[4.65460157 6.65910625 6.65460157 4.65910625]	0.7853981633974483	R
279.763	4.51400000000001	trials	282.13186666666667	282.9499	2.0	[ 6.99999762  1.00637066  8.99999714 -0.9936294 ]	0.0	R
