onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
1.883	3.5069999999999997	trials	2.9110666666666667	4.2905	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
5.642	1.2069999999999999	trials				[NaN, NaN, NaN, NaN]		A
7.1	0.6270000000000007	trials				[NaN, NaN, NaN, NaN]		A
7.979	3.2909999999999995	trials	9.184633333333334	10.150033333333333	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
11.521	3.9739999999999984	trials	13.067266666666667	14.433666666666667	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
15.747	3.8580000000000005	trials	17.1384	18.482733333333332	4.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-1.5707963267948966	I
19.856	4.041999999999998	trials	21.8972	22.775366666666667	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
24.15	3.335000000000001	trials	25.2074	26.388333333333332	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
27.737	2.8230000000000004	trials	28.981766666666665	29.49203333333333	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
30.811	3.8870000000000005	trials	32.848366666666664	33.6263	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
34.95	0.02599999999999625	trials				[NaN, NaN, NaN, NaN]		R
38.787	4.508000000000003	trials	40.86826666666666	42.2096	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
43.547	4.0460000000000065	trials	45.505766666666666	46.493233333333336	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
47.845	4.149999999999999	trials	49.5839	50.822966666666666	4.0	[-1.0, 9.0, 1.0, 7.0]	-1.5707963267948966	R
52.247	3.7169999999999987	trials	53.82443333333333	54.9001	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
56.215	3.0859999999999985	trials	57.49753333333334	58.15116666666667	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
59.553	3.5620000000000047	trials	61.11653333333334	62.04483333333334	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
63.366	4.283000000000001	trials	65.51043333333334	66.53096666666667	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
67.9	4.825999999999993	trials	70.14993333333334	71.40506666666667	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
72.978	1.4470000000000027	trials				[NaN, NaN, NaN, NaN]		A
74.676	3.783999999999992	trials	76.32426666666667	77.31873333333333	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
78.711	3.3619999999999948	trials	80.11566666666667	81.04496666666667	4.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	-1.5707963267948966	R
82.324	3.7480000000000047	trials	83.4309	84.90156666666667	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
86.324	3.635000000000005	trials	88.2318	88.88743333333333	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
90.211	4.686999999999998	trials	92.4192	93.7445	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
95.15	3.7479999999999905	trials	97.0497	97.74343333333333	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
99.15	1.884999999999991	trials	100.5163		3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	A
