onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
5.123	4.271999999999999	trials	7.0707	8.2697	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
10.399	3.319000000000001	trials	11.889666666666667	12.5814	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
14.722	2.895999999999999	trials	15.621933333333333	16.302633333333333	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
18.621	0.06900000000000261	trials				[NaN, NaN, NaN, NaN]		A
19.693	4.106999999999999	trials	21.874433333333332	22.473933333333335	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
24.804	3.1140000000000008	trials	25.994666666666667	26.59113333333333	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
28.922	2.9639999999999986	trials	29.687833333333334	30.819633333333332	1.0	[-1.0, 9.0, 1.0, 7.0]	0.7853981633974483	R
32.89	3.128	trials	34.059666666666665	35.014066666666665	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	F
37.021	0.06700000000000017	trials				[NaN, NaN, NaN, NaN]		A
38.092	0.36299999999999955	trials				[NaN, NaN, NaN, NaN]		A
39.458	3.7820000000000036	trials	40.852533333333334	41.980333333333334	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
44.244	3.517000000000003	trials	45.9502	47.01883333333333	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	I
48.764	3.2439999999999998	trials	50.216766666666665	50.90346666666667	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
53.012	3.5489999999999995	trials	54.314933333333336	55.37356666666667	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
57.564	3.469999999999999	trials	58.786033333333336	60.03013333333333	0.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	1.5707963267948966	F
62.037	3.7020000000000053	trials	63.43856666666667	64.56236666666666	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
66.743	3.2660000000000053	trials	67.9999	69.30813333333333	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	I
71.012	0.22799999999999443	trials				[NaN, NaN, NaN, NaN]		A
72.243	2.8100000000000023	trials	73.677		7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	A
76.057	3.5360000000000014	trials	77.81526666666667	79.0463	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	I
80.596	0.17900000000000205	trials				[NaN, NaN, NaN, NaN]		A
81.778	3.944999999999993	trials	83.7149	84.53293333333333	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
86.726	2.477000000000004	trials	87.61756666666666	88.19903333333333	4.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	-1.5707963267948966	F
90.206	0.06399999999999295	trials				[NaN, NaN, NaN, NaN]		A
91.274	4.323999999999998	trials	93.12623333333333	94.17486666666667	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
96.602	3.478999999999999	trials	97.99533333333333	98.9066	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
101.084	3.3349999999999937	trials	102.44736666666667	103.4158	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	F
105.423	0.715999999999994	trials				[NaN, NaN, NaN, NaN]		A
107.142	3.2490000000000094	trials	108.03023333333333	109.2713	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
111.395	3.576999999999998	trials	112.86223333333334	114.19253333333333	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	I
115.976	3.3910000000000053	trials	117.13783333333333	118.2506	0.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	1.5707963267948966	R
120.371	3.6680000000000064	trials	122.46103333333333	123.03546666666666	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	F
125.042	1.4779999999999944	trials				[NaN, NaN, NaN, NaN]		A
127.524	3.4310000000000116	trials	129.1777	129.7842	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
131.959	3.330999999999989	trials	133.55656666666667	134.2864	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	F
136.293	0.46299999999999386	trials				[NaN, NaN, NaN, NaN]		A
137.759	2.616000000000014	trials	139.22363333333334		5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	A
141.379	0.45100000000002183	trials				[NaN, NaN, NaN, NaN]		A
142.834	2.8170000000000073	trials	143.79396666666668	144.30123333333333	2.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	0.0	R
146.654	3.3079999999999927	trials	148.1518	148.7543	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
150.966	3.7150000000000034	trials	152.15473333333333	153.5221	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
155.684	2.490000000000009	trials	157.27743333333333		6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	A
159.177	3.7990000000000066	trials	160.94953333333333	161.83273333333332	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
163.979	3.1389999999999816	trials	165.33043333333333	166.38603333333333	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	I
168.121	4.260999999999996	trials	169.7153	171.17493333333334	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
173.385	0.7220000000000084	trials				[NaN, NaN, NaN, NaN]		A
175.111	3.0740000000000123	trials	176.31566666666666	176.94923333333332	3.0	[-1.0, 9.0, 1.0, 7.0]	-0.7853981633974483	R
179.189	0.2230000000000132	trials				[NaN, NaN, NaN, NaN]		A
180.416	3.7369999999999948	trials	181.57773333333333	182.80276666666666	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
185.157	3.0759999999999934	trials	186.57613333333333	187.09243333333333	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
189.237	1.975999999999999	trials	190.4638		6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	A
192.216	4.076999999999998	trials	194.176	194.89576666666667	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
197.297	2.828000000000003	trials	198.05963333333332	198.7303	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
201.128	3.2120000000000175	trials	202.49363333333332	203.33673333333334	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	F
205.344	0.1640000000000157	trials				[NaN, NaN, NaN, NaN]		A
206.512	3.9180000000000064	trials	208.38526666666667	209.2905	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	I
211.434	1.7199999999999989	trials	212.80523333333332		7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	A
214.158	2.3500000000000227	trials	216.3831		2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	A
217.512	3.330999999999989	trials	218.61966666666666	219.69633333333334	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
221.847	2.921999999999997	trials	222.7138	223.76543333333333	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	F
225.772	2.852000000000004	trials	226.80696666666665	227.621	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	F
229.628	4.237000000000023	trials	231.2189	232.53116666666668	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
234.869	3.9919999999999902	trials	236.8158	237.5466	3.0	[-1.0, 9.0, 1.0, 7.0]	-0.7853981633974483	R
239.864	3.399000000000001	trials	241.2939	242.02573333333333	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
244.266	3.040999999999997	trials	245.0803	246.1259	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
248.31	3.109999999999985	trials	249.86116666666666	250.41656666666665	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	F
252.424	3.0149999999999864	trials	253.12326666666667	254.15083333333334	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
256.443	2.73599999999999	trials	257.43396666666666	258.03043333333335	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
260.183	3.862000000000023	trials	261.4880333333333	262.8835	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
265.049	3.156000000000006	trials	266.5054666666667	267.1541	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
269.208	2.377999999999986	trials	270.2056666666667		1.0	[-1.0, 9.0, 1.0, 7.0]	0.7853981633974483	A
272.59	0.17700000000002092	trials				[NaN, NaN, NaN, NaN]		A
273.771	2.3319999999999936	trials	275.179		7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	A
277.107	2.9389999999999645	trials	278.6295666666667	279.39146666666664	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	I
281.05	2.9399999999999977	trials	281.8786333333333	282.9071666666667	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
284.993	3.22199999999998	trials	286.51413333333335	287.41536666666667	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	I
289.219	3.5360000000000014	trials	290.5862333333333	291.67493333333334	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
293.758	3.1930000000000405	trials	294.5781333333333	295.7661	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
297.955	2.915999999999997	trials	299.05123333333336	299.7760333333333	0.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	1.5707963267948966	R
301.874	3.834000000000003	trials	303.9062666666667	304.41253333333333	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
306.711	3.4950000000000045	trials	308.29816666666665	308.88263333333333	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
