onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
1.159	3.1210000000000004	trials	2.9275	3.228266666666667	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
4.532	3.391	trials	6.729933333333333	7.0317	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
8.175	2.728999999999999	trials	9.800566666666667	10.101333333333333	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
11.156	0.7199999999999989	trials				[NaN, NaN, NaN, NaN]		A
12.127	0.5149999999999988	trials				[NaN, NaN, NaN, NaN]		A
12.893	2.202	trials	14.064166666666667	14.3649	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
15.346	2.8019999999999996	trials	17.00946666666667	17.311233333333334	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
18.4	3.921000000000003	trials	20.9252	21.225966666666668	7.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	2.356194490192345	R
22.572	3.6750000000000007	trials	25.127633333333332	25.4284	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
26.499	6.0000000000000036	trials	31.288933333333333	31.5907	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
32.751	3.375	trials	34.8127	35.11443333333333	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
36.378	2.5630000000000024	trials	37.82216666666667	38.122933333333336	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
39.193	3.405999999999999	trials	41.371	41.671733333333336	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
42.851	2.6499999999999986	trials	44.409533333333336	44.71026666666667	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
45.753	3.1809999999999974	trials	47.87513333333333	48.1759	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
49.185	2.719000000000001	trials	50.5949	50.895633333333336	2.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	0.0	R
52.156	3.3569999999999993	trials	54.31613333333333	54.6169	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
55.765	2.8119999999999976	trials	57.078	57.379733333333334	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
58.828	3.208999999999996	trials	60.848366666666664	61.1501	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
62.289	2.4350000000000023	trials	63.53703333333333	63.8378	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
