onset	duration	nwb_table	go_cue_time_array	target_id	num_targets	num_attempted	target_dir	target_size	result	target_1_x_position	target_1_y_position	target_2_x_position	target_2_y_position	target_3_x_position	target_3_y_position	target_4_x_position	target_4_y_position
6.795	3.1579999999999995	trials	[nan nan nan nan]	[nan nan nan nan]	4				R								
10.957	2.619999999999999	trials	[11.058      11.3758     12.00936667 12.8194    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-0.5266076326370239	3.496367931365967	-5.524875164031982	3.6279749870300293	-1.660003900527954	8.157970428466797	-1.9484845399856567	-2.0209367275238037
14.581	3.1660000000000004	trials	[14.682      15.49303333 16.50453333 17.16016667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	1.453414797782898	2.6463699340820312	-8.548332214355469	8.46275806427002	-4.474612712860107	5.563652515411377	2.2734150886535645	3.782370090484619
18.75	2.8979999999999997	trials	[18.85136667 19.8218     20.53456667 21.16613333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-0.8795595169067383	-0.09819052368402481	-1.0547415018081665	4.898739814758301	-5.216927528381348	2.1281423568725586	-5.409894943237305	-2.8681325912475586
22.652	3.224999999999998	trials	[22.75306667 23.50893333 24.2217     24.99863333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.115325927734375	-0.44870004057884216	7.112732887268066	-0.28768888115882874	7.654134750366211	-5.986266136169434	3.9008705615997314	6.681525230407715
26.88	2.559000000000001	trials	[26.98156667 27.66826667 28.2888     28.96046667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-1.883994221687317	-1.455043077468872	2.1141350269317627	1.5474498271942139	-2.8783698081970215	1.2737762928009033	-0.8305932879447937	-3.2876501083374023
30.442	3.0600000000000023	trials	[30.5434     31.31833333 32.1524     32.82206667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-6.533585548400879	-0.40552574396133423	-7.989563941955566	-6.924072265625	-3.045243978500366	-3.1369309425354004	2.278409957885742	-3.925687551498413
34.505	3.908999999999999	trials	[nan nan nan nan]	[nan nan nan nan]	4				R								
39.417	4.4339999999999975	trials	[39.5187     41.8585     42.5342     43.31913333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	7.6082611083984375	4.420499324798584	2.7799949645996094	3.121328115463257	-1.3225778341293335	0.2632001042366028	-1.4636377096176147	5.3418145179748535
44.855	3.2950000000000017	trials	[44.9562     46.1191     46.91206667 47.60176667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	8.358576774597168	6.0705790519714355	4.144782543182373	3.3791229724884033	-1.606431484222412	-0.44508615136146545	-6.336869716644287	-6.654614448547363
