onset	duration	nwb_table	go_cue_time_array	target_id	num_targets	num_attempted	target_dir	target_size	result	target_1_x_position	target_1_y_position	target_2_x_position	target_2_y_position	target_3_x_position	target_3_y_position	target_4_x_position	target_4_y_position
14.075	2.1769999999999996	trials	[14.17663333 14.94853333         nan         nan]	[ 1.  1. nan nan]	4	2.0	0.7853981633974483	2.0	F	-1.7075990438461304	3.5831124782562256	8.233683586120605	-2.2594738006591797	3.5150182247161865	-0.6059331297874451	6.422369480133057	3.4619052410125732
17.255	28.143000000000004	trials	[17.35653333 42.61626667 43.53353333 44.38063333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	6.213682174682617	2.3143205642700195	4.589417457580566	7.850612640380859	0.6560359001159668	4.763783931732178	5.413795471191406	-3.9371278285980225
46.402	1.0989999999999966	trials	[46.5029     nan     nan     nan]	[ 1. nan nan nan]	4	1.0	0.7853981633974483	2.0	A	7.94460391998291	-8.249320983886719	3.396132230758667	-3.7997939586639404	-2.732635974884033	5.945263862609863	-7.528163433074951	7.360508441925049
48.505	5.070999999999998	trials	[48.60613333 51.5384     52.2612     52.97396667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-6.490242004394531	-4.376030445098877	-0.3366537392139435	-2.866800308227539	-3.8288803100585938	1.0790104866027832	-7.15537691116333	-2.6538732051849365
54.58	3.597999999999999	trials	[54.68123333 56.01553333 56.77843333 57.50923333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-7.90625524520874	-7.597169876098633	-2.341625928878784	0.7986913323402405	-2.0840694904327393	-6.913462162017822	2.455270767211914	-4.817182540893555
59.181	3.3490000000000038	trials	[nan nan nan nan]	[nan nan nan nan]	4				R								
63.533	4.097999999999999	trials	[63.63446667 65.0199     66.23793333 66.9126    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	6.134823799133301	2.2524354457855225	-0.7614064812660217	3.5136027336120605	-0.5993397831916809	8.51097583770752	-2.572925090789795	3.916962146759033
68.635	3.7109999999999985	trials	[68.73613333 70.04236667 70.8995     71.64133333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.946904182434082	6.8848395347595215	7.91697359085083	0.38946375250816345	4.25201940536499	3.790656328201294	8.24506664276123	0.03849807009100914
73.35	3.6700000000000017	trials	[73.45083333 74.82726667 75.50693333 76.23576667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	1.781538724899292	-6.125470161437988	6.693176746368408	-7.061316967010498	3.901055335998535	-2.9135398864746094	2.3237006664276123	-7.6582159996032715
78.023	3.5889999999999986	trials	[nan nan nan nan]	[nan nan nan nan]	4				R								
82.616	7.013999999999996	trials	[82.71683333 87.4837     88.2496     88.87613333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	4.696805953979492	2.9272656440734863	0.018894921988248825	4.69281005859375	-2.7167298793792725	8.878064155578613	-1.6480121612548828	3.9936153888702393
90.634	3.0999999999999943	trials	[90.73476667 91.7142     92.39386667 93.0896    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-6.128307819366455	1.773942232131958	-8.56655216217041	-2.591256856918335	-7.6251935958862305	-7.5018415451049805	-3.2421209812164307	-5.0958757400512695
94.738	3.070999999999998	trials	[94.83896667 95.71613333 96.472      97.24293333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.8802672624588013	-7.925347805023193	6.233589172363281	-8.480048179626465	6.340003490447998	-3.4811806678771973	0.5272794961929321	-3.955824613571167
98.813	3.066999999999993	trials	[ 98.91406667  99.74113333 100.43986667 101.05036667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	5.099197864532471	7.042753219604492	0.3961198627948761	5.345385551452637	-3.8797364234924316	2.7536580562591553	1.324804425239563	-5.058923244476318
102.884	3.4620000000000033	trials	[102.9852     103.81223333 104.77263333 105.6869    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	3.3492448329925537	2.817115306854248	0.1287696361541748	6.641842842102051	3.1206142902374268	-4.795395851135254	7.1887383460998535	5.81524658203125
107.349	3.35799999999999	trials	[107.45026667 108.2282     109.0312     109.69183333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.221862554550171	6.389829635620117	-1.412533164024353	2.9560024738311768	-5.6954665184021	5.536017894744873	0.4301007091999054	-7.702733039855957
111.711	3.0700000000000074	trials	[111.8121     112.63416667 113.5043     114.1449    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.6107823848724365	-3.2033300399780273	-2.3855576515197754	3.525117874145508	-5.7646074295043945	-2.2056949138641357	1.2326576709747314	2.0069453716278076
115.785	3.1200000000000045	trials	[115.88623333 116.7634     117.66866667 118.38743333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-2.4652607440948486	-1.3583775758743286	0.515762209892273	-7.497575759887695	-3.1053614616394043	-3.072518825531006	-4.990096092224121	1.5586555004119873
119.908	3.3089999999999975	trials	[nan nan nan nan]	[nan nan nan nan]	4				R								
124.221	3.218999999999994	trials	[124.32216667 125.2184     126.10963333 126.77326667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.8040049076080322	-3.8233556747436523	7.476745128631592	-5.602540493011475	7.56436824798584	-0.603308379650116	3.2826647758483887	1.9787482023239136
