onset	duration	nwb_table	go_cue_time_array	target_id	num_targets	num_attempted	target_dir	target_size	result	target_1_x_position	target_1_y_position	target_2_x_position	target_2_y_position	target_3_x_position	target_3_y_position	target_4_x_position	target_4_y_position
3.275	5.1419999999999995	trials	[3.37606667 6.0507     6.7755     7.7419    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-7.459966659545898	-5.506123065948486	-3.1897828578948975	-8.107186317443848	-5.911655902862549	1.545864224433899	4.036174774169922	1.5854406356811523
9.42	6.6579999999999995	trials	[ 9.52133333 15.64553333         nan         nan]	[ 1.  1. nan nan]	4	2.0	0.7853981633974483	2.0	A	8.167927742004395	-1.230339527130127	3.4654455184936523	-2.9293577671051025	1.6906436681747437	5.236865520477295	-1.9475586414337158	8.666659355163574
17.081	4.949000000000002	trials	[17.18236667 19.96926667 20.67803333 21.3106    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-1.2483052015304565	-0.6554476022720337	5.300145149230957	2.1637966632843018	4.127809524536133	7.024416923522949	-0.7786508202552795	7.987041473388672
23.034	3.1099999999999994	trials	[23.13513333 23.9973     24.8063     25.62533333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.058150291442871	5.401333808898926	-7.591451644897461	1.0906047821044922	-3.0297834873199463	-3.0202198028564453	-6.5997724533081055	3.9402434825897217
27.147	5.749000000000002	trials	[27.24836667 31.01873333 31.6974     32.335     ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	3.9801242351531982	2.3910024166107178	0.794038712978363	-5.1407012939453125	5.5991291999816895	-3.7582740783691406	5.8003973960876465	1.2376734018325806
33.9	2.853999999999999	trials	[34.00113333 34.72393333 35.41063333 36.09433333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.1341562271118164	4.637478828430176	-1.672993779182434	1.3962428569793701	-6.5691022872924805	2.4102070331573486	-3.388604164123535	-1.447827696800232
37.757	1.5320000000000036	trials	[37.8587 38.6106     nan     nan]	[ 1.  1. nan nan]	4	2.0	0.7853981633974483	2.0	A	1.5757923126220703	-2.0434517860412598	6.448849678039551	-4.517183303833008	3.194772243499756	-0.7210037708282471	-7.982186794281006	-1.5401793718338013
40.293	4.643000000000001	trials	[40.394      42.67166667 43.50473333 44.23956667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.3759323060512543	1.9780855178833008	-6.107524871826172	-2.011388063430786	3.479018449783325	3.452857494354248	-1.0097713470458984	-4.586309432983398
45.94	3.094999999999999	trials	[46.04103333 47.0295     47.69113333 48.49913333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	1.5410162210464478	8.420563697814941	-3.36043643951416	7.432757377624512	-5.53864049911499	-3.6691689491271973	-3.9624338150024414	-8.414226531982422
50.039	2.814	trials	[50.14023333 50.71263333 51.76426667 52.4219    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-1.8633427619934082	-3.876185655593872	3.1071393489837646	-4.418686389923096	2.5355279445648193	0.5485320091247559	0.6116054654121399	5.163564205169678
