onset	duration	nwb_table	go_cue_time_array	target_id	num_targets	num_attempted	target_dir	target_size	result	target_1_x_position	target_1_y_position	target_2_x_position	target_2_y_position	target_3_x_position	target_3_y_position	target_4_x_position	target_4_y_position
11.715	3.526	trials	[11.81636667 12.97626667 13.92963333 14.5592    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-1.5644495487213135	7.695363521575928	-5.429133892059326	4.522948741912842	-5.8861985206604	-0.4561164081096649	-1.6476728916168213	-7.499782562255859
16.244	0.8039999999999985	trials	[16.34563333         nan         nan         nan]	[ 1. nan nan nan]	4	1.0	0.7853981633974483	2.0	A	-0.07785669714212418	-2.7526068687438965	-5.053562164306641	-3.244903802871704	-1.9230015277862549	-7.143568992614746	0.28301674127578735	-2.65653395652771
18.052	3.676000000000002	trials	[18.1531     19.2308     20.15106667 21.0393    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	4.3708014488220215	-6.712722301483154	6.1151227951049805	-2.0268561840057373	-1.196067452430725	-0.7902496457099915	2.675849437713623	-3.9538331031799316
22.732	3.3560000000000016	trials	[22.83273333 23.57256667 24.4267     25.3119    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	1.8258843421936035	0.9733931422233582	-2.3090031147003174	7.350790977478027	-7.30894660949707	7.327003479003906	-7.978327751159668	2.3720133304595947
27.091	3.8919999999999995	trials	[27.19256667 28.48176667 29.23363333 30.3905    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-3.2856645584106445	0.6460602879524231	-2.9042630195617676	-4.339371681213379	8.083683013916016	-7.585928440093994	4.378256320953369	-4.228874206542969
31.986	3.4800000000000004	trials	[32.08773333 33.7749     34.7002             nan]	[ 1.  1.  1. nan]	4	3.0	0.7853981633974483	2.0	A	8.946674346923828	-6.261005401611328	4.092212677001953	-1.6854475736618042	-0.8942725658416748	-1.3180712461471558	3.193521022796631	-4.1972975730896
36.47	3.878	trials	[36.57086667 37.56433333 38.638      39.30763333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41.352	4.7620000000000005	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-8.415092468261719	2.380647659301758	-3.4485785961151123	-4.006956577301025	8.583723068237305	4.763639450073242	-3.2166807651519775	-1.687148094177246
47.117	3.605000000000004	trials	[47.2183     48.7441     49.32553333 50.08943333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-8.4667329788208	-7.878091812133789	-3.7064614295959473	-6.348447322845459	-7.518139362335205	-2.1529769897460938	-4.52103328704834	-6.155145645141602
51.725	3.8399999999999963	trials	[51.82673333 53.08286667 53.92593333 54.90436667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-1.9998174905776978	-1.8373371362686157	-3.478156566619873	2.939116954803467	1.192163348197937	-8.731093406677246	5.72746467590332	-2.542527198791504
56.569	3.961999999999996	trials	[56.66976667 57.6101     58.71483333 59.68223333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61.535	3.504000000000005	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-5.810965061187744	3.2959938049316406	5.697322368621826	-4.445106506347656	3.261037588119507	6.292780876159668	-1.7382973432540894	6.211237907409668
66.042	3.3329999999999984	trials	[66.1433     67.30316667 68.09313333 68.77383333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	5.02919340133667	4.4230756759643555	0.03760475665330887	4.712977886199951	-2.257389783859253	0.2707939147949219	1.524383544921875	3.541602611541748
70.379	3.0919999999999987	trials	[70.48006667 71.33316667 72.15923333 72.80183333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-0.9397114515304565	8.08588981628418	-5.867661476135254	7.240131378173828	-7.824240207672119	2.6388490200042725	-6.932926654815674	-2.2810654640197754
74.474	3.899000000000001	trials	[74.57523333 75.8985     76.6925     77.80023333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79.376	3.9909999999999997	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-5.705607891082764	-8.795330047607422	-5.0895676612854	2.8035075664520264	-7.649764060974121	-1.4913026094436646	-3.458512783050537	-4.21773099899292
84.371	4.629000000000005	trials	[84.4718     86.79856667 87.68476667 88.38753333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-8.012490272521973	-6.282020092010498	-2.2641029357910156	3.947253704071045	1.950795292854309	1.2575262784957886	4.830703258514404	-2.829787015914917
90.004	4.046999999999997	trials	[90.1048     91.41706667 92.35036667 93.5654    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95.054	4.549999999999997	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-5.374321937561035	-4.453815937042236	-2.923635721206665	-8.812042236328125	0.50721275806427	-5.174835205078125	-4.816778659820557	7.743010997772217
100.608	10.021999999999991	trials	[100.70913333 108.5045     109.21323333 110.0343    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-4.946367263793945	2.7446906566619873	-2.066490888595581	-1.3426450490951538	5.273337364196777	0.11359462887048721	6.892592430114746	4.84413480758667
113.369	2.1920000000000073	trials	[114.25976667          nan          nan          nan]	[ 1. nan nan nan]	4	1.0	0.7853981633974483	2.0	R	2.274709701538086	6.761204719543457	-0.22478196024894714	2.4307844638824463	-8.108672142028809	-2.5836493968963623	3.319024085998535	6.129098892211914
116.565	2.9240000000000066	trials	[116.66576667 117.46373333 118.1735     118.83213333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-7.046150207519531	5.176970958709717	-2.9460105895996094	-2.806536912918091	1.011548399925232	0.24923256039619446	5.803027153015137	-1.1796587705612183
120.492	3.5390000000000015	trials	[120.5935     122.0461     122.74083333 123.54383333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	6.583369255065918	3.7590725421905518	5.333008289337158	8.600208282470703	6.049683094024658	-2.3412528038024902	6.261466979980469	2.6542599201202393
125.035	3.825000000000017	trials	[125.1358     126.48413333 127.48663333 128.38786667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
129.864	4.299000000000007	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	6.430308818817139	-7.034548282623291	4.0039191246032715	-2.6627485752105713	-1.0389831066131592	0.17035195231437683	2.4422876834869385	-3.4186246395111084
135.167	2.9329999999999927	trials	[135.26793333 136.0168     136.73256667 137.48646667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139.103	3.4119999999999777	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
143.518	4.163999999999987	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	7.541869163513184	-8.996210098266602	3.9763998985290527	-5.490867614746094	8.260871887207031	-2.9134082794189453	3.6395962238311768	-1.0045316219329834
148.685	3.0720000000000027	trials	[148.7865     149.72283333 150.44463333 151.1524    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	7.358345985412598	-4.346821308135986	3.3906617164611816	-1.3042103052139282	5.82963752746582	3.060580253601074	7.197646141052246	7.869795799255371
152.76	3.2660000000000196	trials	[152.86163333 153.68566667 154.5719     155.3037    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.7722275257110596	5.542636394500732	-0.9972097277641296	8.827654838562012	-1.974657654762268	3.9241254329681396	-6.760643482208252	2.476942539215088
157.029	3.4020000000000152	trials	[157.13023333 158.0044     158.83646667 159.58233333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	3.6766343116760254	-5.861612319946289	5.565980434417725	4.249386787414551	0.6878886222839355	3.1520183086395264	-4.977892875671387	8.010392189025879
161.435	3.031000000000006	trials	[161.53616667 162.48453333 163.18226667 163.8419    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.5484089851379395	3.043048143386841	-2.537543773651123	-2.995936870574951	1.3884029388427734	0.10034188628196716	-4.204970359802246	1.3589231967926025
165.47	2.4819999999999993	trials	[165.5712 167.1351      nan      nan]	[ 1.  1. nan nan]	4	2.0	0.7853981633974483	2.0	A	-7.558774471282959	-2.6989495754241943	-7.499493598937988	-7.698598384857178	-7.19815731048584	3.311842203140259	1.2253358364105225	7.318379878997803
168.956	2.9090000000000202	trials	[169.05686667 169.57813333 170.41423333 171.14203333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-1.7684617042541504	-1.960020661354065	4.277652740478516	1.9513494968414307	2.014925003051758	6.410055637359619	-2.985062837600708	6.398996829986572
172.868	2.5459999999999923	trials	[172.96956667 173.93196667 174.61666667          nan]	[ 1.  1.  1. nan]	4	3.0	0.7853981633974483	2.0	A	-7.575606346130371	4.41735315322876	-2.8150477409362793	2.888601779937744	6.012548446655273	3.188721179962158	2.722858190536499	6.9540815353393555
176.417	3.5919999999999845	trials	[176.5184     177.6582     178.35593333 179.4306    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-0.3725592792034149	-3.247736692428589	1.8245247602462769	1.2436797618865967	-8.754124641418457	5.296110153198242	-8.634060859680176	0.2975520193576813
181.013	3.883999999999986	trials	[181.1138     182.05713333 182.7599     183.6531    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.2827467918396	-3.413066864013672	-4.698325157165527	-8.37879467010498	-0.5573259592056274	-5.541752338409424	7.154706001281738	0.3099437952041626
185.901	0.2150000000000034	trials	[186.00193333          nan          nan          nan]	[ 1. nan nan nan]	4	1.0	0.7853981633974483	2.0	A	2.304098129272461	1.5230412483215332	-2.4399030208587646	3.1024253368377686	-0.16370704770088196	-6.057856559753418	4.5359954833984375	-7.7645487785339355
187.12	3.102000000000004	trials	[187.22096667 188.33173333 189.02543333 189.652     ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.3906986713409424	7.6357927322387695	1.1185709238052368	2.800330877304077	0.31552189588546753	-2.134758949279785	-1.8496185541152954	2.372143268585205
191.226	3.3460000000000036	trials	[191.32716667 192.24043333 193.05946667 193.7602    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.3437550663948059	6.865372657775879	3.951077699661255	-1.4872690439224243	1.6336288452148438	2.943242311477661	1.1713558435440063	-2.035342216491699
195.576	3.116000000000014	trials	[195.67696667 196.504      197.2268     197.9827    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.424100399017334	3.990549325942993	1.0487874746322632	8.390337944030762	-1.916774868965149	4.364739894866943	-6.614152908325195	2.6516611576080322
199.696	3.670000000000016	trials	[199.7972     200.9681     201.64376667 202.71543333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
204.37	3.033999999999992	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-2.7683911323547363	-5.0595293045043945	2.2037978172302246	-4.532901287078857	6.74478816986084	-2.4401979446411133	7.886257171630859	2.4277634620666504
208.408	3.4080000000000155	trials	[208.50883333 209.45316667 210.36443333 211.05113333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
212.82	3.6330000000000098	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	0.8805795311927795	6.490382671356201	-5.134127616882324	5.366304874420166	-7.324644088745117	0.8716814517974854	-3.5223169326782227	-2.375210762023926
217.456	3.75	trials	[217.5573     218.1628     219.30563333 220.10663333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	1.423732876777649	-3.107734441757202	5.833987236022949	-5.463505268096924	8.8348388671875	-1.4641441106796265	-2.559602975845337	-0.44683462381362915
222.21	3.3389999999999986	trials	[222.3111     223.1592     224.23086667 224.79726667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-2.7189505100250244	-6.783175468444824	-5.546238899230957	7.655429363250732	-4.767707824707031	2.716412305831909	2.1392879486083984	-1.5083478689193726
226.553	4.991000000000014	trials	[226.6539     229.3175     230.13453333 230.9736    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	7.001094818115234	-0.3409421145915985	2.0780928134918213	0.5331588387489319	7.56655216217041	3.752659320831299	4.570775032043457	7.755823135375977
232.548	2.9490000000000123	trials	[232.64876667 232.85126667 233.9119     234.60063333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	1.9680067300796509	3.4866783618927	-4.895595550537109	-5.66619348526001	0.07628566771745682	-5.136668682098389	-4.318974018096924	0.09989062696695328
236.5	3.3689999999999998	trials	[236.6016     237.7765     238.67273333 239.36946667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	3.5507447719573975	4.484325408935547	-1.3587470054626465	5.431367874145508	-4.249991416931152	1.3520658016204834	-1.5973831415176392	-2.886291265487671
240.872	3.434999999999974	trials	[240.97343333 242.0862     242.93433333 243.79143333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.170407295227051	0.4006153643131256	-0.18506665527820587	-6.0431108474731445	-3.3389785289764404	3.426612138748169	-4.859577655792236	-1.3365569114685059
245.31	3.0679999999999836	trials	[245.41146667 246.0691     246.9172     247.69613333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0890171006321907	-2.0516867637634277	3.9888882637023926	1.0773714780807495	-1.2568742036819458	1.7083641290664673	-5.528509140014648	5.522046089172363
249.381	3.1740000000000066	trials	[249.48256667 249.6861     250.98933333 252.05496667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-2.50897479057312	1.5367714166641235	2.2516582012176514	3.065291166305542	-4.422186851501465	-3.4155144691467285	-1.6906554698944092	-7.6034417152404785
253.559	3.530000000000001	trials	[253.65996667 254.50303333 255.31506667 256.26443333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	2.4630126953125	-4.8200907707214355	7.002593040466309	-7.260580539703369	-1.3634819984436035	-3.204373836517334	4.738951206207275	2.1532974243164062
258.093	3.200999999999965	trials	[258.1942     259.14656667 260.01473333 260.69943333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	7.5504469871521	-3.580686092376709	-0.6626964807510376	-4.858392715454102	4.315745830535889	-4.394591331481934	5.850983142852783	0.3638797998428345
262.297	3.113999999999976	trials	[262.39866667 263.09136667 263.77306667 264.60613333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
266.415	4.665999999999997	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	7.823774337768555	-6.445126056671143	2.0196492671966553	6.819986820220947	-2.6193838119506836	8.685294151306152	-7.566064834594727	7.957045555114746
272.085	2.90300000000002	trials	[272.18596667 272.94786667 273.5774     274.221     ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
275.991	4.4080000000000155	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	4.616789817810059	-7.39267635345459	6.194735527038574	-2.6481966972351074	-5.528074741363525	-5.54405403137207	-1.5833834409713745	-2.471691846847534
281.403	3.1850000000000023	trials	[281.5041     282.57876667 283.25443333 284.0073    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-7.288956642150879	4.259043216705322	-2.3081727027893066	4.696984767913818	-5.787005424499512	-2.4110231399536133	-0.7931745648384094	-2.1627228260040283
285.591	3.1370000000000005	trials	[285.6925     286.6619     287.498      288.17366667]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-2.4883499145507812	-6.866591453552246	-7.539599418640137	-5.945314407348633	-5.263090133666992	-1.1876672506332397	-0.3644660413265228	-2.1894075870513916
289.732	3.495999999999981	trials	[289.83276667 290.86033333 291.83876667 292.4994    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-0.7643622756004333	2.7945752143859863	-3.8730998039245605	-6.709433555603027	1.040806531906128	-5.785569190979004	8.484792709350586	-3.3979270458221436
294.232	2.1549999999999727	trials	[294.33296667 295.13093333          nan          nan]	[ 1.  1. nan nan]	4	2.0	0.7853981633974483	2.0	A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
297.391	3.9420000000000073	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-1.3393480777740479	-5.730112075805664	7.07848596572876	3.3809731006622314	8.434410095214844	8.193609237670898	4.896233558654785	4.660720348358154
302.337	4.261000000000024	trials	[302.4381     303.9308     304.84906667 305.80243333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
307.602	3.184000000000026	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-1.9023364782333374	1.8226605653762817	-5.4110870361328125	8.392571449279785	-8.065197944641113	4.155155658721924	-4.496810436248779	0.6527836918830872
311.789	3.1410000000000196	trials	[311.89056667 312.8289     313.53966667 314.30053333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-4.13548469543457	-4.33414363861084	0.8107046484947205	-5.0657243728637695	5.68963098526001	-3.9720699787139893	8.280255317687988	0.30445483326911926
315.934	3.262999999999977	trials	[316.03486667 316.84086667 317.9837     318.6684    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	3.250516176223755	2.6603684425354004	-7.602980613708496	-1.4956210851669312	-6.9049973487854	-6.4466633796691895	-3.284346342086792	-2.998347043991089
320.2	3.649000000000001	trials	[320.30143333 321.67886667 322.46383333 323.27683333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
324.853	3.6410000000000196	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-8.477265357971191	-2.872110605239868	-3.569666624069214	-3.828916549682617	-3.7976040840148926	-8.823718070983887	0.07866495102643967	-5.665468692779541
329.497	3.1409999999999627	trials	[329.59853333 330.41056667 331.1504     331.9133    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.27688220143318176	2.692093849182129	-4.186145782470703	-2.1358563899993896	-1.3426388502120972	5.844601154327393	-5.997499942779541	7.670051574707031
333.642	3.6850000000000023	trials	[333.74283333 334.72626667 335.68466667 336.80643333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-5.355566501617432	2.711430549621582	-3.328488349914551	-4.079313278198242	8.343798637390137	2.787898540496826	4.703304767608643	6.215259552001953
338.33	4.289000000000044	trials	[338.43146667 339.41793333 340.92166667 341.75773333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	3.9930219650268555	1.265966773033142	5.949730396270752	6.811127185821533	1.702810525894165	4.172250747680664	-6.119687080383301	-4.734813690185547
343.622	4.120999999999981	trials	[343.7236     345.43586667 346.2188     347.1812    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-1.3941199779510498	-6.368525505065918	3.599376678466797	-6.623457431793213	7.586133003234863	-3.605879783630371	5.190754413604736	0.7829881310462952
348.746	3.5790000000000077	trials	[348.84733333 349.90096667 350.95456667 351.6102    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	7.139893531799316	5.387426853179932	4.679640769958496	1.0345938205718994	1.0198906660079956	4.441385269165039	-3.774064779281616	3.020824909210205
353.328	2.965000000000032	trials	[353.42973333 354.09136667 354.98256667 355.6733    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
357.296	7.864000000000033	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	8.754820823669434	0.9677754640579224	-1.3497060537338257	8.549149513244629	-7.714173316955566	6.242488384246826	-1.856987714767456	-4.370214939117432
366.163	3.0039999999999623	trials	[366.2646     366.9964     367.8375     368.54023333]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
370.17	4.048999999999978	trials	[nan nan nan nan]	[nan nan nan nan]	4				R	-5.522617340087891	4.9335408210754395	-0.021400172263383865	5.647379398345947	-4.331675052642822	8.181452751159668	-4.234424591064453	3.182398557662964
375.223	3.315999999999974	trials	[375.3241     376.11003333 377.00326667 378.0619    ]	[1. 1. 1. 1.]	4	4.0	0.7853981633974483	2.0	R	-3.531632661819458	-1.7679632902145386	3.0470283031463623	-0.4130058288574219	-6.285644054412842	5.049765110015869	-2.9641096591949463	1.3124654293060303
