onset	duration	nwb_table	go_cue_time_array	target_id	num_targets	num_attempted	target_dir	target_size	result	target_1_x_position	target_1_y_position	target_2_x_position	target_2_y_position	target_3_x_position	target_3_y_position	target_4_x_position	target_4_y_position
2.927	15.844999999999999	trials	[3.028, 3.7337333333333333, NaN, NaN]	[1.0, 1.0, NaN, NaN]	4	2.0	0.7853981633974483	2.0	F	-0.840842068195343	-1.545228123664856	6.682495594024658	8.014189720153809	2.503983974456787	5.268275737762451	-2.315561532974243	3.9371185302734375
19.776	3.062000000000001	trials	[19.876833333333334, 20.743, 22.147466666666666, NaN]	[1.0, 1.0, 1.0, NaN]	4	3.0	0.7853981633974483	2.0	A	-2.6266262531280518	4.516905307769775	-4.759159564971924	-0.7705142498016357	-3.6147799491882324	-5.637792110443115	1.031179428100586	-7.485780715942383
23.842	8.221000000000004	trials	[23.942933333333333, 29.633066666666668, 30.443066666666667, 31.1839]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	3.25514817237854	-5.11365270614624	6.63029146194458	-1.424695372581482	2.2534942626953125	0.9926676750183105	-1.3792195320129395	4.428274154663086
33.067	3.429000000000002	trials	[NaN, NaN, NaN, NaN]	[NaN, NaN, NaN, NaN]	4				R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37.5	3.1839999999999975	trials	[37.60086666666667, 37.80336666666667, 39.0244, 39.9176]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	-0.23475119471549988	2.3301262855529785	6.660228729248047	-3.586278200149536	4.542057514190674	0.9428884983062744	-4.274675369262695	3.069472312927246
41.687	2.058	trials	[41.788266666666665, 42.7396, NaN, NaN]	[1.0, 1.0, NaN, NaN]	4	2.0	0.7853981633974483	2.0	A	-4.7521514892578125	-1.9076770544052124	0.4807370603084564	-3.3476004600524902	6.465826988220215	-5.712884426116943	5.549014091491699	-0.7976579070091248
44.749	3.3129999999999953	trials	[44.849866666666664, 45.814233333333334, 46.695433333333334, 47.46333333333333]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	3.2466347217559814	2.5950586795806885	-0.5148022770881653	-0.6991167068481445	-1.2433034181594849	-7.289480209350586	-0.6561181545257568	-2.3240785598754883
49.065	3.6799999999999997	trials	[49.16656666666667, 49.9806, 50.92293333333333, 52.08383333333333]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	1.4590179920196533	2.2065062522888184	-3.363713502883911	0.8869379162788391	7.896892547607422	5.034292697906494	7.972747802734375	-1.5559223890304565
53.749	3.6409999999999982	trials	[53.8502, 55.067233333333334, 55.912333333333336, 56.731366666666666]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	7.292416572570801	-6.93637228012085	5.259039878845215	-2.3685085773468018	0.002239704132080078	5.56450080871582	-4.005277156829834	2.5745491981506348
58.394	3.324000000000005	trials	[58.494733333333336, 59.2025, 60.216, 61.076166666666666]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	0.37656739354133606	0.166346475481987	5.3306145668029785	0.8426706194877625	0.5147604942321777	2.1871211528778076	0.7071082592010498	7.183420181274414
62.721	4.339000000000006	trials	[NaN, NaN, NaN, NaN]	[NaN, NaN, NaN, NaN]	4				R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68.064	3.568000000000012	trials	[68.16476666666667, 69.072, 69.97626666666666, 70.7983]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	8.243228912353516	0.3418237864971161	1.3187127113342285	3.153592824935913	5.1533379554748535	6.362276077270508	0.1925506889820099	6.987246513366699
72.636	4.3160000000000025	trials	[72.7371, 73.92606666666667, 74.81226666666667, 76.18666666666667]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	-4.759439468383789	6.296019554138184	-3.022984027862549	1.6072324514389038	6.36204719543457	0.9943004846572876	-1.9820595979690552	5.054469108581543
77.955	3.6329999999999956	trials	[78.05633333333333, 79.11293333333333, 80.07733333333333, 81.0287]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	5.045591354370117	6.531429290771484	0.18766100704669952	5.347997188568115	-7.586767673492432	8.164779663085938	-5.9988203048706055	3.423637866973877
82.592	3.406000000000006	trials	[NaN, NaN, NaN, NaN]	[NaN, NaN, NaN, NaN]	4				R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87.002	3.8500000000000085	trials	[87.1028, 87.98596666666667, 89.18996666666666, 89.99696666666667]	[1.0, 1.0, 1.0, 1.0]	4	4.0	0.7853981633974483	2.0	R	-2.290923595428467	-0.38269877433776855	-7.900089263916016	-7.958020210266113	0.8357464671134949	-1.755991816520691	6.424726486206055	6.10217809677124
