onset	duration	nwb_table	target_on_time	go_cue_time	target_id	target_corners	target_dir	result
3.179	3.3860000000000006	trials	4.2079	5.391866666666667	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
6.816	3.707	trials	8.532666666666668	9.723633333333334	0.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	1.5707963267948966	I
10.774	0.6850000000000005	trials				[NaN, NaN, NaN, NaN]		A
11.711	4.816000000000001	trials	14.548633333333333	15.077966666666667	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
16.778	3.578000000000003	trials	18.356133333333332	19.166133333333335	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
20.608	3.483999999999998	trials	22.21773333333333	22.862333333333332	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
24.344	0.625	trials				[NaN, NaN, NaN, NaN]		A
25.22	3.591000000000001	trials	26.4613	27.68936666666667	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
29.063	0.30799999999999983	trials				[NaN, NaN, NaN, NaN]		A
29.622	3.905999999999999	trials	31.158	32.389066666666665	6.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	3.141592653589793	R
33.78	3.5360000000000014	trials	35.47976666666667	36.6627	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	I
37.568	4.211000000000006	trials	39.82156666666667	40.696733333333334	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
42.031	3.4250000000000043	trials	43.6591	44.2105	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
45.707	3.5749999999999957	trials	47.24803333333333	47.91973333333333	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
49.534	2.905000000000001	trials	50.42093333333333	51.23396666666667	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
52.691	1.9450000000000003	trials				[NaN, NaN, NaN, NaN]		A
54.888	1.0219999999999985	trials				[NaN, NaN, NaN, NaN]		A
56.161	4.149999999999999	trials	57.93663333333333	59.06346666666666	7.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	2.356194490192345	R
60.562	4.078000000000003	trials	62.74463333333333	63.3	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
64.892	4.0260000000000105	trials	66.26636666666667	67.6338	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
69.17	1.465999999999994	trials	70.39666666666666		2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	A
70.888	0.48599999999999	trials				[NaN, NaN, NaN, NaN]		A
71.626	3.125	trials	72.80366666666667	73.69786666666667	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
75.003	2.804000000000002	trials	76.05776666666667	76.59106666666666	6.0	[-8.999977111816406, 0.9808881878852844, -6.999977111816406, -1.0191118717193604]	3.141592653589793	R
78.059	4.134	trials	79.4492	80.8106	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
82.445	3.973000000000013	trials	83.72183333333334	85.01906666666666	0.0	[-1.0, 9.0, 1.0, 7.0]	1.5707963267948966	R
86.669	3.7139999999999986	trials	88.203	89.2967	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
90.635	3.8059999999999974	trials	92.1388	93.21146666666667	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
94.692	4.182000000000002	trials	96.34526666666666	97.52116666666667	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
99.125	3.0120000000000005	trials	100.39733333333334	100.9096	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
102.388	1.4140000000000015	trials				[NaN, NaN, NaN, NaN]		A
104.053	5.435000000000002	trials				[NaN, NaN, NaN, NaN]		A
109.74	3.0900000000000034	trials	110.83633333333333	112.20973333333333	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	I
113.082	4.811000000000007	trials	116.03326666666666	116.733	6.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	3.141592653589793	R
118.144	4.675999999999988	trials	120.28383333333333	121.58506666666666	3.0	[4.663607120513916, -4.650093078613281, 6.663607120513916, -6.650093078613281]	-0.7853981633974483	R
123.072	4.340999999999994	trials	124.83816666666667	126.19053333333333	7.0	[-6.672598838806152, 6.64106559753418, -4.672598838806152, 4.64106559753418]	2.356194490192345	R
127.664	4.464999999999989	trials	129.77446666666665	130.90626666666665	1.0	[4.654601573944092, 6.659106254577637, 6.654601573944092, 4.659106254577637]	0.7853981633974483	R
132.381	3.3400000000000034	trials	133.49773333333334	134.6175	2.0	[6.999997615814209, 1.0063706636428833, 8.99999713897705, -0.9936293959617615]	0.0	R
135.973	3.040999999999997	trials	137.1438	137.8967	5.0	[-6.645581245422363, -4.668104648590088, -4.645581245422363, -6.668104648590088]	-2.356194490192345	R
139.266	4.4080000000000155	trials	141.13673333333332	142.42896666666667	4.0	[-0.987258791923523, -6.999989986419678, 1.012741208076477, -8.99998950958252]	-1.5707963267948966	R
